Species
Anasimyia transfuga
Chalcosyrphus nemorum
Cheilosia bergenstammi
Cheilosia fraterna
Cheilosia illustrata
Chrysotoxum bicinctum
Chrysotoxum festivum
Dasysyrphus albostriatus
Epistrophe grossulariae
Episyrphus balteatus
Eristalinus aeneus
Eristalinus sepulchralis
Eristalis abusivus
Eristalis arbustorum
Eristalis horticola
Eristalis nemorum
Eristalis pertinax
Eristalis rupium
Eristalis tenax
Eumerus ornatus
Eumerus strigatus
Eupeodes corollae
Eupeodes latifasciatus
Eupeodes luniger
Ferdinandea cuprea
Helophilus hybridus
Helophilus pendulus
Helophilus trivittatus
Leucozona glaucia
Melanogaster hirtella
Melanostoma mellinum
Melanostoma scalare
Meliscaeva auricollis
Meliscaeva cinctella
Myathropa florea
Neoascia podagrica
Neoascia tenur
Pipizella viduata
Platycheirus albimanus
Platycheirus clypeatus
Platycheirus granditarsus
Platycheirus manicatus
Platycheirus peltatus
Platycheirus rosarum
Rhingia campestris
Scaeva pyrastri
Sericomyia lappona
Sericomyia silentis
Sphaerophoria fatarum
Sphaerophoria interrupta
Sphaerophoria philanthus
Sphaerophoria scripta
Sphegina clunipes
Syritta pipiens
Syrphus ribesii
Syrphus torvus
Syrphus vitripennis
Volucella bombylans
Volucella inanis
Volucella inflata
Xanthogramma pedissequum
Xylota jakutorum
Xylota segnis
